year,resolution,modularity,cafFob,nb_communities
1859,2.8000000000000003,0.5418503140061518,caf,16
1859,3.0000000000000004,0.5403238149151799,caf,16
1859,3.2000000000000006,0.5327498496145746,caf,16
1859,3.400000000000001,0.536504923154975,caf,16
1859,3.600000000000001,0.5325204114437053,caf,16
1859,3.800000000000001,0.5314211445935111,caf,16
1859,0.4,0.573871465800379,fob,5
1859,0.6000000000000001,0.597534664236028,fob,6
1859,0.8,0.597534664236028,fob,6
1859,1,0.6023120935286581,fob,8
1859,1.2,0.6014896801261441,fob,9
1859,1.4,0.598279455191915,fob,10
1859,1.5999999999999999,0.598279455191915,fob,10
1859,1.7999999999999998,0.5667681939259501,fob,13
1859,1.9999999999999998,0.5636373725189558,fob,14
1859,2.1999999999999997,0.5522889060101543,fob,15
1859,2.4,0.5418503140061518,fob,16
1859,2.6,0.5403850889881959,fob,16
1859,2.8000000000000003,0.5403850889881959,fob,16
1859,3.0000000000000004,0.5371958234452411,fob,16
1859,3.2000000000000006,0.5331348006583003,fob,16
1859,3.400000000000001,0.5340469105346772,fob,16
1859,3.600000000000001,0.5338174723638079,fob,16
1859,3.800000000000001,0.5360352825220308,fob,16
1860,0.4,0.5612732723027978,caf,4
1860,0.6000000000000001,0.5869498109875152,caf,5
1860,0.8,0.6042151822800994,caf,7
1860,1,0.6065765821511182,caf,9
1860,1.2,0.6105649579209586,caf,9
1860,1.4,0.5986813860602804,caf,11
1860,1.5999999999999999,0.5983665362493651,caf,11
1860,1.7999999999999998,0.5921494711328867,caf,12
1860,1.9999999999999998,0.5867968348821112,caf,13
1860,2.1999999999999997,0.5837213173396152,caf,13
1860,2.4,0.5840079483423983,caf,13
1860,2.6,0.585252361216108,caf,13
1860,2.8000000000000003,0.5795916641597989,caf,13
1860,3.0000000000000004,0.5596842753159141,caf,14
1860,3.2000000000000006,0.5618096110873373,caf,14
1860,3.400000000000001,0.5449318128079772,caf,16
1860,3.600000000000001,0.5453014606368178,caf,16
1860,3.800000000000001,0.5433288815698029,caf,16
1860,0.4,0.5612732723027978,fob,4
1860,0.6000000000000001,0.5879282530994653,fob,5
1860,0.8,0.6042151822800994,fob,7
1860,1,0.6112639247814086,fob,9
1860,1.2,0.6105649579209586,fob,9
1860,1.4,0.6083092312784505,fob,10
1860,1.5999999999999999,0.6079943814675351,fob,10
1860,1.7999999999999998,0.5884931424403014,fob,13
1860,1.9999999999999998,0.5884931424403014,fob,13
1860,2.1999999999999997,0.5837213173396152,fob,13
1860,2.4,0.5844296392517132,fob,13
1860,2.6,0.5841177032853394,fob,13
