id,year,importerId,importerLabel,importerType,exporterId,exporterLabel,exporterType,value,reportedBy,partial,valueToSplit,newReporters,newPartners,originalReportedTradeFlowIds,status,notes
920->255,1917,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,6,920,,,,,,ok,
920->220,1917,220,France,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,480875,920,,,,,,ok,
920->740,1917,740,Japan,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,3004,920,,,,,,ok,
920->990,1917,990,Samoa (Western Samoa) (German Samoa),GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,73148,920,,,,,,ok,
920->985,1917,985,Guam,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,43179,920,,,,,,ok,
920->9601,1917,9601,Society Is.,GPH,920,New Zealand,GPH-AUTONOMOUS-CITED,56594,920,,,,,,ignore_resolved,
920->Pacific Islands (other),1917,Pacific Islands (other),Pacific Islands (other),RIC,920,New Zealand,GPH-AUTONOMOUS-CITED,28294,920,,28294,,912|925|930|935|940|945|970|983|991|9004|9007|9252|9253|9321|9462|9610|9620|9810|9830,,split_failed_no_ratio,
920->2,1917,2,United States of America,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,1869620,920,,,,,,ok,
950<-200,1917,950,Fiji,GPH-AUTONOMOUS-CITED,200,United Kingdom,GPH-AUTONOMOUS-CITED,125598,950,,,,,,ok,
950<-750,1917,950,Fiji,GPH-AUTONOMOUS-CITED,750,India,GPH-AUTONOMOUS-CITED,24205,950,,,,,,ok,
950<-720,1917,950,Fiji,GPH-AUTONOMOUS-CITED,720,Hong Kong,GPH-AUTONOMOUS-CITED,9482,950,,,,,,ok,
950<-900,1917,950,Fiji,GPH-AUTONOMOUS-CITED,900,Australia,GPH-AUTONOMOUS-CITED,525536,950,,,,,,ok,
950<-920,1917,950,Fiji,GPH-AUTONOMOUS-CITED,920,New Zealand,GPH-AUTONOMOUS-CITED,174379,950,,,,,,ok,
950<-20,1917,950,Fiji,GPH-AUTONOMOUS-CITED,20,Canada (Province of Canada),GPH-AUTONOMOUS-CITED,26504,950,,,,,,ok,
950<-British Colonies (other),1917,950,Fiji,GPH-AUTONOMOUS-CITED,British Colonies (other),British Colonies (other),RIC,1755,950,,1755,,21|30|31|51|52|53|80|110|231|338|352|420|452|475|560|570|590|591|780|821|827|935|945|1055|1063|1163|4050|5522|5523|8218|9004|9620,,split_failed_no_ratio,
950<-380,1917,950,Fiji,GPH-AUTONOMOUS-CITED,380,Sweden,GPH-AUTONOMOUS-CITED,2445,950,,,,,,ok,
950<-255,1917,950,Fiji,GPH-AUTONOMOUS-CITED,255,Germany (Zollverein),GPH-AUTONOMOUS-CITED,278,950,,,,,,ok,
950<-220,1917,950,Fiji,GPH-AUTONOMOUS-CITED,220,France,GPH-AUTONOMOUS-CITED,427,950,,,,,,ok,
