"target","source","key","proximity","observedTradeValues","coMembershipScore","bridgeNessEdgeScore","ambiguityScore","maxObservedTradeValue","sourceCited","sourceReporting","sourceLabel","sourceGphStatus","sourceBlockLouvain","sourceBlockIntraMax","sourceBlockAn","sourceMeanAmbiguityScore","targetCited","targetReporting","targetLabel","targetGphStatus","targetBlockLouvain","targetBlockIntraMax","targetBlockAn","targetMeanAmbiguityScore","export","import"
"246","2","2-246",1.14917026514659,"0.002929356687492273",0,1,0,0.00292935668749227,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Bremen",NA,7,6,"LA",0,1519239.71561254,NA
"246","200","200-246",0.402436042319699,"0.0035674243205471553",0,1,0,0.00356742432054716,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Bremen",NA,7,6,"LA",0,1850158,NA
"246","235","235-246",2.03431638894296,"0.00009061255229001687",1,0,0,9.06125522900169e-05,NA,NA,"Portugal",NA,7,2,"WE",0.0875,NA,NA,"Bremen",NA,7,6,"LA",0,46994,NA
"248","200","200-248",0.886645589185525,"0.01720148980026811",0,1,0,0.0172014898002681,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Hamburg",NA,8,6,"LA",0,8921135,NA
"248","51","248-51",0.446547066583479,"0.00007620138882626434",0,1,0,7.62013888262643e-05,NA,NA,"Jamaica",NA,5,1,"LA",0,NA,NA,"Hamburg",NA,8,6,"LA",0,39520,NA
"248","6","248-6",0.375099851855005,"0.00007040337323414447",0,1,0,7.04033732341445e-05,NA,NA,"Puerto Rico",NA,3,6,"LA",0,NA,NA,"Hamburg",NA,8,6,"LA",0,36513,NA
"257","200","200-257",1.17476421211231,"0.00010573713968761852",0.15,0.85,0.51,0.000105737139687619,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Oldenburg",NA,7,7,"WE",0.34,54838,NA
"257","210","210-257",0.488337105402134,"0.000009013737427012473",0,1,0,9.01373742701247e-06,NA,NA,"Netherlands",NA,1,3,"WE",0,NA,NA,"Oldenburg",NA,7,7,"WE",0.34,4674.75604582096,NA
"276","140","140-276",3.02621302396599,"0.000017611930302102695",1,0,0,1.76119303021027e-05,NA,NA,"Brazil",NA,7,2,"LA",0.0146153846153846,NA,NA,"Lübeck",NA,7,1,"LA",0,9134,NA
"276","200","200-276",0.793158520225327,"0.00006709655689211403",0,1,0,6.7096556892114e-05,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Lübeck",NA,7,1,"LA",0,34798,NA
"276","235","235-276",2.42405526045041,"0.000001702576577266989",1,0,0,1.70257657726699e-06,NA,NA,"Portugal",NA,7,2,"WE",0.0875,NA,NA,"Lübeck",NA,7,1,"LA",0,883,NA
"276","51","276-51",0.352068993942507,"2.96938610304775e-7",0,1,0,2.96938610304775e-07,NA,NA,"Jamaica",NA,5,1,"LA",0,NA,NA,"Lübeck",NA,7,1,"LA",0,154,NA
"280","200","200-280",0.413069963341358,"0.00013965562731015942",0,1,0,0.000139655627310159,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Mecklenburg Schwerin",NA,1,7,"WE",0,72429,NA
"280","211","211-280",1.36459156368476,"0.00005268230835195824",1,0,0,5.26823083519582e-05,NA,NA,"Belgium",NA,1,3,"WE",0,NA,NA,"Mecklenburg Schwerin",NA,1,7,"WE",0,27322.400000035,NA
"280","220","220-280",0.696208485565506,"0.00012220060487597883",0,1,0,0.000122200604875979,NA,NA,"France",NA,5,3,"WE",0,NA,NA,"Mecklenburg Schwerin",NA,1,7,"WE",0,63376.3764556762,NA
"3","2","2-3",2.2313376003221,"0.000019694970087172597",1,0,0,1.96949700871726e-05,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Alaska",NA,3,2,"NAM",0,10214.3180043562,NA
"30","2","2-30",1.86786555047087,"0.000032055872703356396",1,0,0,3.20558727033564e-05,NA,NA,"United States of America",NA,3,2,"NAM",0,NA,NA,"Bermuda",NA,3,1,"LA",0,NA,16625
"30","6","30-6",2.85322361174311,"0.0000031534098884103553",1,0,0,3.15340988841036e-06,NA,NA,"Puerto Rico",NA,3,6,"LA",0,NA,NA,"Bermuda",NA,3,1,"LA",0,NA,1635.43946783059
"300","140","140-300",0.504059157132584,"0.00023920768404472856",0,1,0,0.000239207684044729,NA,NA,"Brazil",NA,7,2,"LA",0.0146153846153846,NA,NA,"Austria-Hungary (Austrian Empire)",NA,4,1,"AS",0.115,NA,124059.256911986
"300","210","210-300",0.290549231305197,"0.000704883690869842|0.00021018504038668357",0,1,0,0.000704883690869842,NA,NA,"Netherlands",NA,1,3,"WE",0,NA,NA,"Austria-Hungary (Austrian Empire)",NA,4,1,"AS",0.115,365570.810352143,109007.367503763
"31","30","30-31",2.40008034763907,"0.000002134487283164844",1,0,0,2.13448728316484e-06,NA,NA,"Bermuda",NA,3,1,"LA",0,NA,NA,"Bahamas",NA,3,1,"WE",0,1107,NA
"325","100","100-325",0.0069643401038554,"0.0002139905448716509",0,1,0,0.000213990544871651,NA,NA,"Colombia (New Granada) (Gran Colombia)",NA,5,3,"WE",0,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,110981
"325","115","115-325",0.625837045196052,"0.00009256386315773396",0,1,0,9.2563863157734e-05,NA,NA,"Surinam (Dutch Guiana)",NA,1,3,"WE",0,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,48006
"325","130","130-325",1.93057704824324,"0.0000866328036428152",1,0,0,8.66328036428152e-05,NA,NA,"Ecuador",NA,6,3,"WE",0.16,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,44930
"325","145","145-325",2.20426245671137,"0.0000880403697825716",1,0,0,8.80403697825716e-05,NA,NA,"Bolivia",NA,6,3,"WE",0,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,45660
"325","150","150-325",2.69506874828847,"1.8317641544775082e-7",0.8,0.2,0.64,1.83176415447751e-07,NA,NA,"Paraguay",NA,6,3,"WE",0.32,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,95
"325","155","155-325",0.537725533655057,"0.00048474456863136845",1,0,0,0.000484744568631369,NA,NA,"Chile",NA,6,3,"WE",0,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,NA,251401
"325","160","160-325",0.788199072586532,"0.0002293036610709577|0.0007729813351159782",0.8,0.2,0.64,0.000772981335115978,NA,NA,"Argentina (La Plata)",NA,6,3,"WE",0.102,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,118922.775885166,400888
"325","200","200-325",0.0271053008697567,"0.006678529469067761|0.011378363613849555",0,1,0,0.0113783636138496,NA,NA,"United Kingdom",NA,0,1,"WE",0.00614457831325301,NA,NA,"Italy",NA,6,1,"AS",0.279473684210526,5901112,3463657.14172636
