key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetReporting,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
165-220,165,220,19.87837703390224,27330.938622520694,1,0,0,0,27330.938622520694,1,Uruguay,Sovereign,0,0,1,1,France,Sovereign,0,0.15072727272727274
101-220,101,220,17.900120475527412,70279.55645791035,0.6,0.4,0.96,0,70279.55645791035,1,Venezuela,Sovereign,0,0.5275000000000001,1,1,France,Sovereign,0,0.15072727272727274
200-31,200,31,18.888441813082366,40022,1,0,0,1,40022,1,United Kingdom,Sovereign,1,0.006333333333333333,1,1,Bahamas,Colony of,1,0
2-31,2,31,20.746404864066058,53004,1,0,0,1,53004,1,United States of America,Sovereign,1,0.04596491228070175,1,1,Bahamas,Colony of,1,0
200-30,200,30,18.803644973259114,47707,1,0,0,1,47707,1,United Kingdom,Sovereign,1,0.006333333333333333,1,1,Bermuda,Colony of,1,0
2-30,2,30,20.805982753370987,72995,1,0,0,1,72995,1,United States of America,Sovereign,1,0.04596491228070175,1,1,Bermuda,Colony of,1,0
380-385,385,380,21.54750852134116,176637.7686464473,1,0,0,0,176637.7686464473,1,Norway,Sovereign (limited),0,0.08222222222222225,1,1,Sweden,Sovereign,0,0.06470588235294118
365-380,365,380,19.81642982424678,97076.41635153208|23644.132048649502,0.95,0.050000000000000044,0.19000000000000017,2,97076.41635153208,1,Russia (USSR),Sovereign,2,0.14678571428571435,1,1,Sweden,Sovereign,0,0.06470588235294118
239-380,239,380,20.810005786706714,24868.086231328645|195078.60167467903,1,0,0,0,195078.60167467903,1,Prussia,Sovereign,0,0.061111111111111116,1,1,Sweden,Sovereign,0,0.06470588235294118
380-390,390,380,21.669688450691957,112030.31538100213,1,0,0,0,112030.31538100213,1,Denmark,Sovereign,0,0.07400000000000002,1,1,Sweden,Sovereign,0,0.06470588235294118
210-380,210,380,18.37836411317789,29825.17983225794,0,1,0,bridge,29825.17983225794,1,Netherlands,Sovereign,2,0.013571428571428571,1,1,Sweden,Sovereign,0,0.06470588235294118
211-380,211,380,17.899337178262392,13714.625629237724|18893,0.1,0.9,0.36000000000000004,bridge,18893,1,Belgium,Sovereign,0,0.34270270270270264,1,1,Sweden,Sovereign,0,0.06470588235294118
200-380,200,380,18.131452925410365,199192.5445306756,0,1,0,bridge,199192.5445306756,1,United Kingdom,Sovereign,1,0.006333333333333333,1,1,Sweden,Sovereign,0,0.06470588235294118
230-380,230,380,18.915433562133444,19497.901496988572,1,0,0,0,19497.901496988572,1,Spain,Sovereign,0,0.08222222222222225,1,1,Sweden,Sovereign,0,0.06470588235294118
