key,source,target,proximity,observedTradeValues,coMembershipScore,bridgeNessEdgeScore,ambiguityScore,sourceCommunityId,maxObservedTradeValue,sourceCited,sourceReporting,sourceLabel,sourceGphStatus,sourceCommunity,sourceMeanAmbiguityScore,targetCited,targetLabel,targetGphStatus,targetCommunity,targetMeanAmbiguityScore
210-248,248,210,5.686908648276981,0.0011654239131579321|0.002667088332977065,0,1,0,bridge,0.002667088332977065,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Netherlands,Sovereign,5,0
248-41,248,41,3.1083211231192998,0.0009365155192375944|0.0002847443410213029,0,1,0,bridge,0.0009365155192375944,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Haiti,Sovereign (unrecognized),4,0
248-390,248,390,1.819615142416708,0.002875628657574312,1,0,0,3,0.002875628657574312,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Denmark,Sovereign,3,0
211-248,248,211,3.234550410721777,0.0012960021424843142|0.002485170200766357,1,0,0,3,0.002485170200766357,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Belgium,Sovereign,3,0
235-248,248,235,0.4903959542656837,0.000294726165382421|0.0002537826990355323,1,0,0,3,0.000294726165382421,1,1,Hamburg,Sovereign (unrecognized),3,0,1,Portugal,Sovereign,3,0
2-246,246,2,1.210726449349151,0.0019401704519345026|0.0012789009720817798,1,0,0,4,0.0019401704519345026,1,1,Bremen,Sovereign (unrecognized),4,0,1,United States of America,Sovereign,4,0
246-40,246,40,9.848631530290778,0.0007612657904048184,1,0,0,4,0.0007612657904048184,1,1,Bremen,Sovereign (unrecognized),4,0,1,Cuba,Colony of,4,0
246-365,246,365,2.2565147622439223,0.0003594866232467198|0.0006916685973001327,0,1,0,bridge,0.0006916685973001327,1,1,Bremen,Sovereign (unrecognized),4,0,1,Russia (USSR),Sovereign,2,0
246-41,246,41,7.408966764891909,0.0002590418314571952|0.0001161826141956355,1,0,0,4,0.0002590418314571952,1,1,Bremen,Sovereign (unrecognized),4,0,1,Haiti,Sovereign (unrecognized),4,0
101-246,246,101,39.05187733432318,0.00022203585553473869|0.00023104367547271103,1,0,0,4,0.00023104367547271103,1,1,Bremen,Sovereign (unrecognized),4,0,1,Venezuela,Sovereign,4,0
246-6,246,6,17.071453355556997,0.00018502987961228226,1,0,0,4,0.00018502987961228226,1,1,Bremen,Sovereign (unrecognized),4,0,1,Puerto Rico,Colony of,4,0
140-246,246,140,2.5102756721739024,0.00018502987961228226|0.0003931988894190648,0,1,0,bridge,0.0003931988894190648,1,1,Bremen,Sovereign (unrecognized),4,0,1,Brazil,Sovereign,3,0
210-246,246,210,4.876422589905377,0.00013322151332084323|0.0010882485155057672,0,1,0,bridge,0.0010882485155057672,1,1,Bremen,Sovereign (unrecognized),4,0,1,Netherlands,Sovereign,5,0
